Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Reunion,France,-21.1151,55.5364,01-23-20,0,0,0,0,Europe
Saint Barthelemy,France,17.9,-62.8333,01-23-20,0,0,0,0,Europe
St Martin,France,18.0708,-63.0501,01-23-20,0,0,0,0,Europe
Martinique,France,14.6415,-61.0242,01-23-20,0,0,0,0,Europe
,France,46.2276,2.2137,01-23-20,0,0,0,0,Europe
,Gabon,-0.8037,11.6094,01-23-20,0,0,0,0,Africa
,Gambia,13.4432,-15.3101,01-23-20,0,0,0,0,Africa
,Georgia,42.3154,43.3569,01-23-20,0,0,0,0,Europe
,Germany,51.165691,10.451526,01-23-20,0,0,0,0,Europe
,Ghana,7.9465,-1.0232,01-23-20,0,0,0,0,Africa
,Greece,39.0742,21.8243,01-23-20,0,0,0,0,Europe
,Guatemala,15.7835,-90.2308,01-23-20,0,0,0,0,Americas
,Guinea,9.9456,-9.6966,01-23-20,0,0,0,0,Africa
,Guyana,4.860416,-58.93018,01-23-20,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,01-23-20,0,0,0,0,Americas
,Holy See,41.9029,12.4534,01-23-20,0,0,0,0,Europe
,Honduras,15.2,-86.2419,01-23-20,0,0,0,0,Americas
,Hungary,47.1625,19.5033,01-23-20,0,0,0,0,Europe
,Iceland,64.9631,-19.0208,01-23-20,0,0,0,0,Europe
,India,20.593684,78.96288,01-23-20,0,0,0,0,South-East Asia
,Indonesia,-0.7893,113.9213,01-23-20,0,0,0,0,South-East Asia
,Iran,32.427908,53.688046,01-23-20,0,0,0,0,Eastern Mediterranean
,Iraq,33.223191,43.679291,01-23-20,0,0,0,0,Eastern Mediterranean
,Ireland,53.1424,-7.6921,01-23-20,0,0,0,0,Europe
,Israel,31.046051,34.851612,01-23-20,0,0,0,0,Europe
,Italy,41.87194,12.56738,01-23-20,0,0,0,0,Europe
,Jamaica,18.1096,-77.2975,01-23-20,0,0,0,0,Americas
,Japan,36.204824,138.252924,01-23-20,2,0,0,2,Western Pacific
,Jordan,31.24,36.51,01-23-20,0,0,0,0,Eastern Mediterranean
,Kazakhstan,48.0196,66.9237,01-23-20,0,0,0,0,Europe
,Kenya,-0.0236,37.9062,01-23-20,0,0,0,0,Africa
,South Korea,35.907757,127.766922,01-23-20,1,0,0,1,Western Pacific
,Kuwait,29.31166,47.481766,01-23-20,0,0,0,0,Eastern Mediterranean
,Kyrgyzstan,41.20438,74.766098,01-23-20,0,0,0,0,Europe
,Latvia,56.8796,24.6032,01-23-20,0,0,0,0,Europe
,Lebanon,33.8547,35.8623,01-23-20,0,0,0,0,Eastern Mediterranean
,Liberia,6.428055,-9.429499,01-23-20,0,0,0,0,Africa
,Liechtenstein,47.14,9.55,01-23-20,0,0,0,0,Europe
,Lithuania,55.1694,23.8813,01-23-20,0,0,0,0,Europe
,Luxembourg,49.8153,6.1296,01-23-20,0,0,0,0,Europe
,Madagascar,-18.766947,46.869107,01-23-20,0,0,0,0,Africa
,Malaysia,4.210484,101.975766,01-23-20,0,0,0,0,Western Pacific
,Maldives,3.2028,73.2207,01-23-20,0,0,0,0,South-East Asia
,Malta,35.9375,14.3754,01-23-20,0,0,0,0,Europe
,Mauritania,21.0079,-10.9408,01-23-20,0,0,0,0,Africa
,Mauritius,-20.348404,57.552152,01-23-20,0,0,0,0,Africa
,Mexico,23.6345,-102.5528,01-23-20,0,0,0,0,Americas
,Moldova,47.4116,28.3699,01-23-20,0,0,0,0,Europe
,Monaco,43.7333,7.4167,01-23-20,0,0,0,0,Europe
,Mongolia,46.8625,103.8467,01-23-20,0,0,0,0,Western Pacific
,Montenegro,42.708678,19.37439,01-23-20,0,0,0,0,Europe
,Morocco,31.7917,-7.0926,01-23-20,0,0,0,0,Eastern Mediterranean
,Namibia,-22.9576,18.4904,01-23-20,0,0,0,0,Africa
,Nepal,28.1667,84.25,01-23-20,0,0,0,0,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,01-23-20,0,0,0,0,Europe
Curacao,Netherlands,12.1696,-68.99,01-23-20,0,0,0,0,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,01-23-20,0,0,0,0,Europe
,Netherlands,52.1326,5.2913,01-23-20,0,0,0,0,Europe
,New Zealand,-40.9006,174.886,01-23-20,0,0,0,0,Western Pacific
,Nicaragua,12.865416,-85.207229,01-23-20,0,0,0,0,Americas
,Niger,17.607789,8.081666,01-23-20,0,0,0,0,Africa
,Nigeria,9.082,8.6753,01-23-20,0,0,0,0,Africa
,North Macedonia,41.6086,21.7453,01-23-20,0,0,0,0,Europe
,Norway,60.472,8.4689,01-23-20,0,0,0,0,Europe
,Oman,21.512583,55.923255,01-23-20,0,0,0,0,Eastern Mediterranean
,Pakistan,30.3753,69.3451,01-23-20,0,0,0,0,Eastern Mediterranean
,Panama,8.538,-80.7821,01-23-20,0,0,0,0,Americas
,Papua New Guinea,-6.314993,143.95555,01-23-20,0,0,0,0,Western Pacific
,Paraguay,-23.4425,-58.4438,01-23-20,0,0,0,0,Americas
,Peru,-9.19,-75.0152,01-23-20,0,0,0,0,Americas
,Philippines,12.879721,121.774017,01-23-20,0,0,0,0,Western Pacific
,Poland,51.9194,19.1451,01-23-20,0,0,0,0,Europe
,Portugal,39.3999,-8.2245,01-23-20,0,0,0,0,Europe
,Qatar,25.3548,51.1839,01-23-20,0,0,0,0,Eastern Mediterranean
,Romania,45.9432,24.9668,01-23-20,0,0,0,0,Europe
,Russia,61.52401,105.318756,01-23-20,0,0,0,0,Europe
,Rwanda,-1.9403,29.8739,01-23-20,0,0,0,0,Africa
,Saint Lucia,13.9094,-60.9789,01-23-20,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,01-23-20,0,0,0,0,Americas
,San Marino,43.9424,12.4578,01-23-20,0,0,0,0,Europe
,Saudi Arabia,23.885942,45.079162,01-23-20,0,0,0,0,Eastern Mediterranean
,Senegal,14.4974,-14.4524,01-23-20,0,0,0,0,Africa
,Serbia,44.0165,21.0059,01-23-20,0,0,0,0,Europe
,Seychelles,-4.6796,55.492,01-23-20,0,0,0,0,Africa
,Singapore,1.2833,103.8333,01-23-20,1,0,0,1,Western Pacific
,Slovakia,48.669,19.699,01-23-20,0,0,0,0,Europe
,Slovenia,46.1512,14.9955,01-23-20,0,0,0,0,Europe
,Somalia,5.152149,46.199616,01-23-20,0,0,0,0,Eastern Mediterranean
,South Africa,-30.5595,22.9375,01-23-20,0,0,0,0,Africa
,Spain,40.463667,-3.74922,01-23-20,0,0,0,0,Europe
,Sri Lanka,7.873054,80.771797,01-23-20,0,0,0,0,South-East Asia
,Sudan,12.8628,30.2176,01-23-20,0,0,0,0,Eastern Mediterranean
,Suriname,3.9193,-56.0278,01-23-20,0,0,0,0,Americas
,Sweden,60.128161,18.643501,01-23-20,0,0,0,0,Europe
,Switzerland,46.8182,8.2275,01-23-20,0,0,0,0,Europe
,Taiwan*,23.7,121,01-23-20,1,0,0,1,Western Pacific
,Tanzania,-6.369028,34.888822,01-23-20,0,0,0,0,Africa
,Thailand,15.870032,100.992541,01-23-20,3,0,0,3,South-East Asia
,Togo,8.6195,0.8248,01-23-20,0,0,0,0,Africa
,Trinidad and Tobago,10.6918,-61.2225,01-23-20,0,0,0,0,Americas
,Tunisia,33.886917,9.537499,01-23-20,0,0,0,0,Eastern Mediterranean
,Turkey,38.9637,35.2433,01-23-20,0,0,0,0,Europe
,Uganda,1.373333,32.290275,01-23-20,0,0,0,0,Africa
,Ukraine,48.3794,31.1656,01-23-20,0,0,0,0,Europe
,United Arab Emirates,23.424076,53.847818,01-23-20,0,0,0,0,Eastern Mediterranean
Bermuda,United Kingdom,32.3078,-64.7505,01-23-20,0,0,0,0,Europe
Cayman Islands,United Kingdom,19.3133,-81.2546,01-23-20,0,0,0,0,Europe
Channel Islands,United Kingdom,49.3723,-2.3644,01-23-20,0,0,0,0,Europe
Gibraltar,United Kingdom,36.1408,-5.3536,01-23-20,0,0,0,0,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,01-23-20,0,0,0,0,Europe
Montserrat,United Kingdom,16.742498,-62.187366,01-23-20,0,0,0,0,Europe
,United Kingdom,55.3781,-3.436,01-23-20,0,0,0,0,Europe
,Uruguay,-32.5228,-55.7658,01-23-20,0,0,0,0,Americas
,US,40,-100,01-23-20,1,0,0,1,Americas
,Uzbekistan,41.377491,64.585262,01-23-20,0,0,0,0,Europe
,Venezuela,6.4238,-66.5897,01-23-20,0,0,0,0,Americas
,Vietnam,14.058324,108.277199,01-23-20,2,0,0,2,Western Pacific
,Zambia,-13.133897,27.849332,01-23-20,0,0,0,0,Africa
,Zimbabwe,-19.015438,29.154857,01-23-20,0,0,0,0,Africa
,Dominica,15.415,-61.371,01-23-20,0,0,0,0,Americas
,Grenada,12.1165,-61.679,01-23-20,0,0,0,0,Americas
,Mozambique,-18.665695,35.529562,01-23-20,0,0,0,0,Africa
,Syria,34.802075,38.996815,01-23-20,0,0,0,0,Eastern Mediterranean
,Timor-Leste,-8.874217,125.727539,01-23-20,0,0,0,0,South-East Asia
,Belize,17.1899,-88.4976,01-23-20,0,0,0,0,Americas
,Laos,19.85627,102.495496,01-23-20,0,0,0,0,Western Pacific
,Libya,26.3351,17.228331,01-23-20,0,0,0,0,Eastern Mediterranean
,West Bank and Gaza,31.9522,35.2332,01-23-20,0,0,0,0,Eastern Mediterranean
,Guinea-Bissau,11.8037,-15.1804,01-23-20,0,0,0,0,Africa
,Mali,17.570692,-3.996166,01-23-20,0,0,0,0,Africa
,Saint Kitts and Nevis,17.357822,-62.782998,01-23-20,0,0,0,0,Americas
Northwest Territories,Canada,64.8255,-124.8457,01-23-20,0,0,0,0,Americas
Yukon,Canada,64.2823,-135,01-23-20,0,0,0,0,Americas
,Kosovo,42.602636,20.902977,01-23-20,0,0,0,0,Europe
,Burma,21.9162,95.956,01-23-20,0,0,0,0,South-East Asia
Anguilla,United Kingdom,18.2206,-63.0686,01-23-20,0,0,0,0,Europe
British Virgin Islands,United Kingdom,18.4207,-64.64,01-23-20,0,0,0,0,Europe
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,01-23-20,0,0,0,0,Europe
,Botswana,-22.3285,24.6849,01-23-20,0,0,0,0,Africa
,Burundi,-3.3731,29.9189,01-23-20,0,0,0,0,Africa
,Sierra Leone,8.460555,-11.779889,01-23-20,0,0,0,0,Africa
,Malawi,-13.2543,34.3015,01-23-20,0,0,0,0,Africa
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,01-23-20,0,0,0,0,Europe
Saint Pierre and Miquelon,France,46.8852,-56.3159,01-23-20,0,0,0,0,Europe
,South Sudan,6.877,31.307,01-23-20,0,0,0,0,Africa
,Western Sahara,24.2155,-12.8858,01-23-20,0,0,0,0,Africa
,Sao Tome and Principe,0.1864,6.6131,01-23-20,0,0,0,0,Africa
,Yemen,15.552727,48.516388,01-23-20,0,0,0,0,Eastern Mediterranean
,Comoros,-11.6455,43.3333,01-23-20,0,0,0,0,Africa
,Tajikistan,38.861,71.2761,01-23-20,0,0,0,0,Europe
,Lesotho,-29.61,28.2336,01-23-20,0,0,0,0,Africa
,Afghanistan,33.93911,67.709953,01-24-20,0,0,0,0,Eastern Mediterranean
,Albania,41.1533,20.1683,01-24-20,0,0,0,0,Europe
,Algeria,28.0339,1.6596,01-24-20,0,0,0,0,Africa
,Andorra,42.5063,1.5218,01-24-20,0,0,0,0,Europe
,Angola,-11.2027,17.8739,01-24-20,0,0,0,0,Africa
,Antigua and Barbuda,17.0608,-61.7964,01-24-20,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,01-24-20,0,0,0,0,Americas
,Armenia,40.0691,45.0382,01-24-20,0,0,0,0,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,01-24-20,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,01-24-20,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,01-24-20,0,0,0,0,Western Pacific
Queensland,Australia,-27.4698,153.0251,01-24-20,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,01-24-20,0,0,0,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,01-24-20,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,01-24-20,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,01-24-20,0,0,0,0,Western Pacific
,Austria,47.5162,14.5501,01-24-20,0,0,0,0,Europe
,Azerbaijan,40.1431,47.5769,01-24-20,0,0,0,0,Europe
,Bahamas,25.025885,-78.035889,01-24-20,0,0,0,0,Americas
,Bahrain,26.0275,50.55,01-24-20,0,0,0,0,Eastern Mediterranean
,Bangladesh,23.685,90.3563,01-24-20,0,0,0,0,South-East Asia
,Barbados,13.1939,-59.5432,01-24-20,0,0,0,0,Americas
,Belarus,53.7098,27.9534,01-24-20,0,0,0,0,Europe
,Belgium,50.8333,4.469936,01-24-20,0,0,0,0,Europe
,Benin,9.3077,2.3158,01-24-20,0,0,0,0,Africa
,Bhutan,27.5142,90.4336,01-24-20,0,0,0,0,South-East Asia
,Bolivia,-16.2902,-63.5887,01-24-20,0,0,0,0,Americas
,Bosnia and Herzegovina,43.9159,17.6791,01-24-20,0,0,0,0,Europe
,Brazil,-14.235,-51.9253,01-24-20,0,0,0,0,Americas
,Brunei,4.5353,114.7277,01-24-20,0,0,0,0,Western Pacific
,Bulgaria,42.7339,25.4858,01-24-20,0,0,0,0,Europe
,Burkina Faso,12.2383,-1.5616,01-24-20,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,01-24-20,0,0,0,0,Africa
,Cambodia,11.55,104.9167,01-24-20,0,0,0,0,Western Pacific
,Cameroon,3.848,11.5021,01-24-20,0,0,0,0,Africa
Alberta,Canada,53.9333,-116.5765,01-24-20,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,01-24-20,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,01-24-20,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,01-24-20,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,01-24-20,0,0,0,0,Americas
Nova Scotia,Canada,44.682,-63.7443,01-24-20,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,01-24-20,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,01-24-20,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,01-24-20,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,01-24-20,0,0,0,0,Americas
,Central African Republic,6.6111,20.9394,01-24-20,0,0,0,0,Africa
,Chad,15.4542,18.7322,01-24-20,0,0,0,0,Africa
,Chile,-35.6751,-71.543,01-24-20,0,0,0,0,Americas
Anhui,China,31.8257,117.2264,01-24-20,15,0,0,15,Western Pacific
Beijing,China,40.1824,116.4142,01-24-20,36,0,1,35,Western Pacific
Chongqing,China,30.0572,107.874,01-24-20,27,0,0,27,Western Pacific
Fujian,China,26.0789,117.9874,01-24-20,10,0,0,10,Western Pacific
Gansu,China,35.7518,104.2861,01-24-20,2,0,0,2,Western Pacific
Guangdong,China,23.3417,113.4244,01-24-20,53,0,2,51,Western Pacific
Guangxi,China,23.8298,108.7881,01-24-20,23,0,0,23,Western Pacific
Guizhou,China,26.8154,106.8748,01-24-20,3,0,0,3,Western Pacific
Hainan,China,19.1959,109.7453,01-24-20,8,0,0,8,Western Pacific
Hebei,China,39.549,116.1306,01-24-20,2,1,0,1,Western Pacific
Heilongjiang,China,47.862,127.7615,01-24-20,4,1,0,3,Western Pacific
Henan,China,37.8957,114.9042,01-24-20,9,0,0,9,Western Pacific
Hong Kong,China,22.3,114.2,01-24-20,2,0,0,2,Western Pacific
Hubei,China,30.9756,112.2707,01-24-20,549,24,31,494,Western Pacific
Hunan,China,27.6104,111.7088,01-24-20,24,0,0,24,Western Pacific
Inner Mongolia,China,44.0935,113.9448,01-24-20,1,0,0,1,Western Pacific
Jiangsu,China,32.9711,119.455,01-24-20,9,0,0,9,Western Pacific
Jiangxi,China,27.614,115.7221,01-24-20,18,0,0,18,Western Pacific
Jilin,China,43.6661,126.1923,01-24-20,3,0,0,3,Western Pacific
Liaoning,China,41.2956,122.6085,01-24-20,4,0,0,4,Western Pacific
Macau,China,22.1667,113.55,01-24-20,2,0,0,2,Western Pacific
Ningxia,China,37.2692,106.1655,01-24-20,2,0,0,2,Western Pacific
Qinghai,China,35.7452,95.9956,01-24-20,0,0,0,0,Western Pacific
Shaanxi,China,35.1917,108.8701,01-24-20,5,0,0,5,Western Pacific
Shandong,China,36.3427,118.1498,01-24-20,15,0,0,15,Western Pacific
Shanghai,China,31.202,121.4491,01-24-20,20,0,1,19,Western Pacific
Shanxi,China,37.5777,112.2922,01-24-20,1,0,0,1,Western Pacific
Sichuan,China,30.6171,102.7103,01-24-20,15,0,0,15,Western Pacific
Tianjin,China,39.3054,117.323,01-24-20,8,0,0,8,Western Pacific
Tibet,China,31.6927,88.0924,01-24-20,0,0,0,0,Western Pacific
Xinjiang,China,41.1129,85.2401,01-24-20,2,0,0,2,Western Pacific
Yunnan,China,24.974,101.487,01-24-20,5,0,0,5,Western Pacific
Zhejiang,China,29.1832,120.0934,01-24-20,43,0,1,42,Western Pacific
,Colombia,4.5709,-74.2973,01-24-20,0,0,0,0,Americas
,Congo (Brazzaville),-0.228,15.8277,01-24-20,0,0,0,0,Africa
,Congo (Kinshasa),-4.0383,21.7587,01-24-20,0,0,0,0,Africa
,Costa Rica,9.7489,-83.7534,01-24-20,0,0,0,0,Americas
,Cote d'Ivoire,7.54,-5.5471,01-24-20,0,0,0,0,Africa
,Croatia,45.1,15.2,01-24-20,0,0,0,0,Europe
,Cuba,21.521757,-77.781167,01-24-20,0,0,0,0,Americas
,Cyprus,35.1264,33.4299,01-24-20,0,0,0,0,Europe
,Czechia,49.8175,15.473,01-24-20,0,0,0,0,Europe
Faroe Islands,Denmark,61.8926,-6.9118,01-24-20,0,0,0,0,Europe
Greenland,Greenland,71.7069,-42.6043,01-24-20,0,0,0,0,Europe
,Denmark,56.2639,9.5018,01-24-20,0,0,0,0,Europe
,Djibouti,11.8251,42.5903,01-24-20,0,0,0,0,Eastern Mediterranean
,Dominican Republic,18.7357,-70.1627,01-24-20,0,0,0,0,Americas
,Ecuador,-1.8312,-78.1834,01-24-20,0,0,0,0,Americas
,Egypt,26.820553,30.802498,01-24-20,0,0,0,0,Eastern Mediterranean
,El Salvador,13.7942,-88.8965,01-24-20,0,0,0,0,Americas
,Equatorial Guinea,1.6508,10.2679,01-24-20,0,0,0,0,Africa
,Eritrea,15.1794,39.7823,01-24-20,0,0,0,0,Africa
,Estonia,58.5953,25.0136,01-24-20,0,0,0,0,Europe
,Eswatini,-26.5225,31.4659,01-24-20,0,0,0,0,Africa
,Ethiopia,9.145,40.4897,01-24-20,0,0,0,0,Africa
,Fiji,-17.7134,178.065,01-24-20,0,0,0,0,Western Pacific
,Finland,61.92411,25.748151,01-24-20,0,0,0,0,Europe
French Guiana,France,3.9339,-53.1258,01-24-20,0,0,0,0,Europe
French Polynesia,France,-17.6797,149.4068,01-24-20,0,0,0,0,Europe
Guadeloupe,France,16.265,-61.551,01-24-20,0,0,0,0,Europe
Mayotte,France,-12.8275,45.166244,01-24-20,0,0,0,0,Europe
New Caledonia,France,-20.904305,165.618042,01-24-20,0,0,0,0,Europe
Reunion,France,-21.1151,55.5364,01-24-20,0,0,0,0,Europe
Saint Barthelemy,France,17.9,-62.8333,01-24-20,0,0,0,0,Europe
St Martin,France,18.0708,-63.0501,01-24-20,0,0,0,0,Europe
Martinique,France,14.6415,-61.0242,01-24-20,0,0,0,0,Europe
,France,46.2276,2.2137,01-24-20,2,0,0,2,Europe
,Gabon,-0.8037,11.6094,01-24-20,0,0,0,0,Africa
,Gambia,13.4432,-15.3101,01-24-20,0,0,0,0,Africa
,Georgia,42.3154,43.3569,01-24-20,0,0,0,0,Europe
,Germany,51.165691,10.451526,01-24-20,0,0,0,0,Europe
,Ghana,7.9465,-1.0232,01-24-20,0,0,0,0,Africa
,Greece,39.0742,21.8243,01-24-20,0,0,0,0,Europe
,Guatemala,15.7835,-90.2308,01-24-20,0,0,0,0,Americas
,Guinea,9.9456,-9.6966,01-24-20,0,0,0,0,Africa
,Guyana,4.860416,-58.93018,01-24-20,0,0,0,0,Americas
,Haiti,18.9712,-72.2852,01-24-20,0,0,0,0,Americas
,Holy See,41.9029,12.4534,01-24-20,0,0,0,0,Europe
,Honduras,15.2,-86.2419,01-24-20,0,0,0,0,Americas
,Hungary,47.1625,19.5033,01-24-20,0,0,0,0,Europe
,Iceland,64.9631,-19.0208,01-24-20,0,0,0,0,Europe
,India,20.593684,78.96288,01-24-20,0,0,0,0,South-East Asia
,Indonesia,-0.7893,113.9213,01-24-20,0,0,0,0,South-East Asia
,Iran,32.427908,53.688046,01-24-20,0,0,0,0,Eastern Mediterranean
,Iraq,33.223191,43.679291,01-24-20,0,0,0,0,Eastern Mediterranean
,Ireland,53.1424,-7.6921,01-24-20,0,0,0,0,Europe
,Israel,31.046051,34.851612,01-24-20,0,0,0,0,Europe
,Italy,41.87194,12.56738,01-24-20,0,0,0,0,Europe
,Jamaica,18.1096,-77.2975,01-24-20,0,0,0,0,Americas
,Japan,36.204824,138.252924,01-24-20,2,0,0,2,Western Pacific
,Jordan,31.24,36.51,01-24-20,0,0,0,0,Eastern Mediterranean
,Kazakhstan,48.0196,66.9237,01-24-20,0,0,0,0,Europe
,Kenya,-0.0236,37.9062,01-24-20,0,0,0,0,Africa
,South Korea,35.907757,127.766922,01-24-20,2,0,0,2,Western Pacific
,Kuwait,29.31166,47.481766,01-24-20,0,0,0,0,Eastern Mediterranean
,Kyrgyzstan,41.20438,74.766098,01-24-20,0,0,0,0,Europe
,Latvia,56.8796,24.6032,01-24-20,0,0,0,0,Europe
,Lebanon,33.8547,35.8623,01-24-20,0,0,0,0,Eastern Mediterranean
,Liberia,6.428055,-9.429499,01-24-20,0,0,0,0,Africa
,Liechtenstein,47.14,9.55,01-24-20,0,0,0,0,Europe
,Lithuania,55.1694,23.8813,01-24-20,0,0,0,0,Europe
,Luxembourg,49.8153,6.1296,01-24-20,0,0,0,0,Europe
,Madagascar,-18.766947,46.869107,01-24-20,0,0,0,0,Africa
,Malaysia,4.210484,101.975766,01-24-20,0,0,0,0,Western Pacific
,Maldives,3.2028,73.2207,01-24-20,0,0,0,0,South-East Asia
,Malta,35.9375,14.3754,01-24-20,0,0,0,0,Europe
,Mauritania,21.0079,-10.9408,01-24-20,0,0,0,0,Africa
,Mauritius,-20.348404,57.552152,01-24-20,0,0,0,0,Africa
,Mexico,23.6345,-102.5528,01-24-20,0,0,0,0,Americas
,Moldova,47.4116,28.3699,01-24-20,0,0,0,0,Europe
,Monaco,43.7333,7.4167,01-24-20,0,0,0,0,Europe
,Mongolia,46.8625,103.8467,01-24-20,0,0,0,0,Western Pacific
,Montenegro,42.708678,19.37439,01-24-20,0,0,0,0,Europe
,Morocco,31.7917,-7.0926,01-24-20,0,0,0,0,Eastern Mediterranean
,Namibia,-22.9576,18.4904,01-24-20,0,0,0,0,Africa
,Nepal,28.1667,84.25,01-24-20,0,0,0,0,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,01-24-20,0,0,0,0,Europe
Curacao,Netherlands,12.1696,-68.99,01-24-20,0,0,0,0,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,01-24-20,0,0,0,0,Europe
,Netherlands,52.1326,5.2913,01-24-20,0,0,0,0,Europe
,New Zealand,-40.9006,174.886,01-24-20,0,0,0,0,Western Pacific
,Nicaragua,12.865416,-85.207229,01-24-20,0,0,0,0,Americas
,Niger,17.607789,8.081666,01-24-20,0,0,0,0,Africa
,Nigeria,9.082,8.6753,01-24-20,0,0,0,0,Africa
,North Macedonia,41.6086,21.7453,01-24-20,0,0,0,0,Europe
,Norway,60.472,8.4689,01-24-20,0,0,0,0,Europe
,Oman,21.512583,55.923255,01-24-20,0,0,0,0,Eastern Mediterranean
,Pakistan,30.3753,69.3451,01-24-20,0,0,0,0,Eastern Mediterranean
,Panama,8.538,-80.7821,01-24-20,0,0,0,0,Americas
,Papua New Guinea,-6.314993,143.95555,01-24-20,0,0,0,0,Western Pacific
,Paraguay,-23.4425,-58.4438,01-24-20,0,0,0,0,Americas
,Peru,-9.19,-75.0152,01-24-20,0,0,0,0,Americas
,Philippines,12.879721,121.774017,01-24-20,0,0,0,0,Western Pacific
,Poland,51.9194,19.1451,01-24-20,0,0,0,0,Europe
,Portugal,39.3999,-8.2245,01-24-20,0,0,0,0,Europe
,Qatar,25.3548,51.1839,01-24-20,0,0,0,0,Eastern Mediterranean
,Romania,45.9432,24.9668,01-24-20,0,0,0,0,Europe
,Russia,61.52401,105.318756,01-24-20,0,0,0,0,Europe
,Rwanda,-1.9403,29.8739,01-24-20,0,0,0,0,Africa
,Saint Lucia,13.9094,-60.9789,01-24-20,0,0,0,0,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,01-24-20,0,0,0,0,Americas
,San Marino,43.9424,12.4578,01-24-20,0,0,0,0,Europe
,Saudi Arabia,23.885942,45.079162,01-24-20,0,0,0,0,Eastern Mediterranean
,Senegal,14.4974,-14.4524,01-24-20,0,0,0,0,Africa
,Serbia,44.0165,21.0059,01-24-20,0,0,0,0,Europe
,Seychelles,-4.6796,55.492,01-24-20,0,0,0,0,Africa
,Singapore,1.2833,103.8333,01-24-20,3,0,0,3,Western Pacific
,Slovakia,48.669,19.699,01-24-20,0,0,0,0,Europe
,Slovenia,46.1512,14.9955,01-24-20,0,0,0,0,Europe
,Somalia,5.152149,46.199616,01-24-20,0,0,0,0,Eastern Mediterranean
,South Africa,-30.5595,22.9375,01-24-20,0,0,0,0,Africa
,Spain,40.463667,-3.74922,01-24-20,0,0,0,0,Europe
,Sri Lanka,7.873054,80.771797,01-24-20,0,0,0,0,South-East Asia
,Sudan,12.8628,30.2176,01-24-20,0,0,0,0,Eastern Mediterranean
,Suriname,3.9193,-56.0278,01-24-20,0,0,0,0,Americas
,Sweden,60.128161,18.643501,01-24-20,0,0,0,0,Europe
,Switzerland,46.8182,8.2275,01-24-20,0,0,0,0,Europe
,Taiwan*,23.7,121,01-24-20,3,0,0,3,Western Pacific
,Tanzania,-6.369028,34.888822,01-24-20,0,0,0,0,Africa
,Thailand,15.870032,100.992541,01-24-20,5,0,0,5,South-East Asia
,Togo,8.6195,0.8248,01-24-20,0,0,0,0,Africa
,Trinidad and Tobago,10.6918,-61.2225,01-24-20,0,0,0,0,Americas
,Tunisia,33.886917,9.537499,01-24-20,0,0,0,0,Eastern Mediterranean
,Turkey,38.9637,35.2433,01-24-20,0,0,0,0,Europe
,Uganda,1.373333,32.290275,01-24-20,0,0,0,0,Africa
,Ukraine,48.3794,31.1656,01-24-20,0,0,0,0,Europe
,United Arab Emirates,23.424076,53.847818,01-24-20,0,0,0,0,Eastern Mediterranean
Bermuda,United Kingdom,32.3078,-64.7505,01-24-20,0,0,0,0,Europe
Cayman Islands,United Kingdom,19.3133,-81.2546,01-24-20,0,0,0,0,Europe
Channel Islands,United Kingdom,49.3723,-2.3644,01-24-20,0,0,0,0,Europe
Gibraltar,United Kingdom,36.1408,-5.3536,01-24-20,0,0,0,0,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,01-24-20,0,0,0,0,Europe
Montserrat,United Kingdom,16.742498,-62.187366,01-24-20,0,0,0,0,Europe
,United Kingdom,55.3781,-3.436,01-24-20,0,0,0,0,Europe
,Uruguay,-32.5228,-55.7658,01-24-20,0,0,0,0,Americas
,US,40,-100,01-24-20,2,0,0,2,Americas
